nl_cmd,bash_cmd
show files in the current folder,ls
list contents of this directory,ls
what are the files here,ls
show me what is in this folder,ls
list files in the current directory,ls
display files in the folder,ls
list the directory contents,ls
list the files with details,ls -l
show file details like permissions and size,ls -l
give a detailed view of the directory,ls -l
list files along with their details,ls -l
show files with their info,ls -l
display file permissions and sizes,ls -l
show hidden files in the folder,ls -a
list all files including hidden ones,ls -a
what are the hidden files here,ls -a
show everything in the directory including hidden files,ls -a
list all files visible and hidden,ls -a
list files sorted by time,ls -lt
show the latest modified files first,ls -lt
sort files by modification time,ls -lt
list the files in time order,ls -lt
list everything including subdirectories,ls -R
show contents of all subfolders,ls -R
list all files and their nested contents,ls -R
show everything in the directory and its subfolders,ls -R
give me a recursive list of files,ls -R
show files in the downloads folder,ls ~/Downloads
list contents of the downloads directory,ls ~/Downloads
what are the files in downloads,ls ~/Downloads
show me the contents of the downloads folder,ls ~/Downloads
list files in the documents folder,ls ~/Documents
show the files in the documents directory,ls ~/Documents
what is inside the documents folder,ls ~/Documents
list all files in documents,ls ~/Documents
show me the files in the home directory,ls ~
list contents of the home folder,ls ~
list all files in the home directory,ls ~
show contents of the home folder,ls ~
show files in the desktop directory,ls ~/Desktop
list the contents of the desktop folder,ls ~/Desktop
what is inside the desktop folder,ls ~/Desktop
list all files in the desktop folder,ls ~/Desktop
show files in the music folder,ls ~/Music
list contents of the music directory,ls ~/Music
show me the music files,ls ~/Music
list all files in the music directory,ls ~/Music
show files in the pictures folder,ls ~/Pictures
list contents of the pictures directory,ls ~/Pictures
what files are in pictures,ls ~/Pictures
show me the contents of the pictures folder,ls ~/Pictures
show files in the videos folder,ls ~/Videos
list contents of the videos directory,ls ~/Videos
what are the videos in this folder,ls ~/Videos
list all files in the videos directory,ls ~/Videos
list contents of the public directory,ls ~/Public
what files are in the public folder,ls ~/Public
show me the contents of the public folder,ls ~/Public
list all files in the public directory,ls ~/Public
show hidden files in the downloads folder,ls -a ~/Downloads
list hidden and visible files in downloads,ls -a ~/Downloads
show everything including hidden files in the documents folder,ls -a ~/Documents
list all files including hidden ones in documents,ls -a ~/Documents
show hidden files in the home directory,ls -a ~
list hidden files and folders in my home directory,ls -a ~
show recently modified files in the downloads folder,ls -lt ~/Downloads
list files sorted by modification time in downloads,ls -lt ~/Downloads
show latest modified files in the documents directory,ls -lt ~/Documents
list files by time in the home directory,ls -lt ~
show files sorted by time in the home folder,ls -lt ~
list all files and subdirectories in downloads,ls -R ~/Downloads
show everything recursively in the documents folder,ls -R ~/Documents
list all files in the directory tree of home,ls -R ~
show the directory structure for my home folder,ls -R ~
show files in the <directory_name> folder,ls <directory_name>
list contents of the <directory_name> directory,ls <directory_name>
what are the files in <directory_name>,ls <directory_name>
show me the contents of the <directory_name> folder,ls <directory_name>
list files in the <directory_name> folder,ls <directory_name>
show the files in the <directory_name> directory,ls <directory_name>
what is inside the <directory_name> folder,ls <directory_name>
list all files in <directory_name> home ,ls ~/<directory_name>
show contents of the <directory_name> in home directory,ls ~/<directory_name>
show me the files in the <directory_name>home directory,ls ~/<directory_name>
show hidden files in the <directory_name> folder,ls -a <directory_name>
list hidden and visible files in <directory_name>,ls -a <directory_name>
list all files including hidden ones in <directory_name>,ls -a <directory_name>
show hidden files in the <directory_name> directory under home directory,ls -a ~/<directory_name>
list hidden files and folders in <directory_name> in home directory,ls -a ~/<directory_name>
show recently modified files in the <directory_name> folder,ls -lt <directory_name>
list files sorted by modification time in <directory_name>,ls -lt <directory_name>
show latest modified files in the <directory_name> directory,ls -lt <directory_name>
list files by time in <directory_name> in home directory,ls -lt ~/<directory_name>
show files sorted by time in the <directory_name> folder under home directory,ls -lt ~/<directory_name>
list all files and subdirectories in <directory_name>,ls -R <directory_name>
show everything recursively in the <directory_name> folder,ls -R <directory_name>
list all files in the directory tree of <directory_name> in home directory,ls -R ~/<directory_name>
show the directory structure for the <directory_name> folder under home directory,ls -R ~/<directory_name>
show directory structure in a tree format,tree
display the folder hierarchy,tree
display the tree of contents in <directory_name>,tree <directory_name>
list files and folders hierarchically in <directory_name>,tree <directory_name>
show hidden files in tree structure,tree -a
show the directory tree including hidden files,tree -a
display files in the folder with a limited depth,tree -L 2
