nl_cmd,bash_cmd

# ls command

show files in the current folder,ls
list contents of this directory,ls
what are the files here,ls
show me what is in this folder,ls
list files in the current directory,ls
display files in the folder,ls
list the directory contents,ls
what does this folder contain,ls
give me the list of files,ls
list the files with details,ls -l
show file details like permissions and size,ls -l
give a detailed view of the directory,ls -l
list files along with their details,ls -l
show files with their info,ls -l
display file permissions and sizes,ls -l
list files in a detailed manner,ls -l
show me the details of each file,ls -l
show hidden files in the folder,ls -a
list all files including hidden ones,ls -a
what are the hidden files here,ls -a
show everything in the directory including hidden files,ls -a
list all files visible and hidden,ls -a
include hidden files in the list,ls -a
show me all the files here,ls -a
list files sorted by time,ls -lt
show the latest modified files first,ls -lt
sort files by modification time,ls -lt
list the files in time order,ls -lt
show files sorted by recent changes,ls -lt
list everything including subdirectories,ls -R
show contents of all subfolders,ls -R
list all files and their nested contents,ls -R
show everything in the directory and its subfolders,ls -R
give me a recursive list of files,ls -R
list everything in the directory structure,ls -R

# default directory

show files in the downloads folder,ls ~/Downloads
list contents of the downloads directory,ls ~/Downloads
what are the files in downloads,ls ~/Downloads
show me the contents of the downloads folder,ls ~/Downloads
display all files in downloads,ls ~/Downloads
list files in the documents folder,ls ~/Documents
show the files in the documents directory,ls ~/Documents
what is inside the documents folder,ls ~/Documents
list all files in documents,ls ~/Documents
show the contents of the documents directory,ls ~/Documents
show me the files in the home directory,ls ~
list contents of the home folder,ls ~
what are the files in my home directory,ls ~
list all files in the home directory,ls ~
show contents of the home folder,ls ~
show files in the desktop directory,ls ~/Desktop
list the contents of the desktop folder,ls ~/Desktop
what is inside the desktop folder,ls ~/Desktop
show me the files on the desktop,ls ~/Desktop
list all files in the desktop folder,ls ~/Desktop
show files in the music folder,ls ~/Music
list contents of the music directory,ls ~/Music
what files are in music,ls ~/Music
show me the music files,ls ~/Music
list all files in the music directory,ls ~/Music
show files in the pictures folder,ls ~/Pictures
list contents of the pictures directory,ls ~/Pictures
what files are in pictures,ls ~/Pictures
show me the contents of the pictures folder,ls ~/Pictures
list all files in the pictures folder,ls ~/Pictures
show files in the videos folder,ls ~/Videos
list contents of the videos directory,ls ~/Videos
what are the videos in this folder,ls ~/Videos
show me the contents of the videos folder,ls ~/Videos
list all files in the videos directory,ls ~/Videos
show files in the public folder,ls ~/Public
list contents of the public directory,ls ~/Public
what files are in the public folder,ls ~/Public
show me the contents of the public folder,ls ~/Public
list all files in the public directory,ls ~/Public
show hidden files in the downloads folder,ls -a ~/Downloads
list hidden and visible files in downloads,ls -a ~/Downloads
show everything including hidden files in the documents folder,ls -a ~/Documents
list all files including hidden ones in documents,ls -a ~/Documents
show hidden files in the home directory,ls -a ~
list hidden files and folders in my home directory,ls -a ~
show recently modified files in the downloads folder,ls -lt ~/Downloads
list files sorted by modification time in downloads,ls -lt ~/Downloads
show latest modified files in the documents directory,ls -lt ~/Documents
list files by time in the home directory,ls -lt ~
show files sorted by time in the home folder,ls -lt ~
list all files and subdirectories in downloads,ls -R ~/Downloads
show everything recursively in the documents folder,ls -R ~/Documents
list all files in the directory tree of home,ls -R ~
show the directory structure for my home folder,ls -R ~

# placeholder ls

show files in the <directory_name> folder,ls ~/<directory_name>
list contents of the <directory_name> directory,ls ~/<directory_name>
what are the files in <directory_name>,ls ~/<directory_name>
show me the contents of the <directory_name> folder,ls ~/<directory_name>
display all files in <directory_name>,ls ~/<directory_name>
list files in the <directory_name> folder,ls ~/<directory_name>
show the files in the <directory_name> directory,ls ~/<directory_name>
what is inside the <directory_name> folder,ls ~/<directory_name>
list all files in <directory_name>,ls ~/<directory_name>
show contents of the <directory_name> directory,ls ~/<directory_name>
show me the files in the <directory_name> directory,ls ~/<directory_name>
