nl_cmd,bash_cmd
whats the weather like today,bash: weather
can you tell me the weather update right now,bash: weather
whats the climate forecast,bash: weather
hows the weather outside,bash: weather
how is the weather,bash: weather
give me the weather update,bash: weather
check climate,bash: weather
weather update,bash: weather
did you know whats weather today,bash: weather
check weather,bash: weather
do you know what todays weather update,bash: weather
whats the climate report for today,bash: weather
whats the weather like at the moment,bash: weather
can you check the weather for me,bash: weather
whats the weather prediction,bash: weather
hows the weather,bash: weather
hey whats the climate today,bash: weather
tell me the weather update for today,bash: weather
weather update,bash: weather
what time is it,bash: time
can you tell me the time,bash: time
check time,bash: time
did you know the time right now,bash: time
do you know what time it is,bash: time
hey whats the time right now,bash: time
whats the current time,bash: time
tell me the time please,bash: time
can you give me the time,bash: time
whats the time at the moment,bash: time
how late is it,bash: time
tell me time,bash: time
give me time,bash: time
could you tell me what time it is,bash: time
would you like to tell me what time right now,bash: time
can you check the time for me,bash: time
what today date,bash: date
check todays date,bash: date
whats todays date,bash: date
can you tell me the date,bash: date
whats the date today,bash: date
would you tell me what date today is,bash: date
did you know what date today is,bash: date
what date is it today,bash: date
give me the date,bash: date
do you know todays date,bash: date
tell me the date please,bash: date
whats the current date,bash: date
can you check the date for me,bash: date
whats the date on the calendar,bash: date
i need to know the date,bash: date
what day right now,bash: day
what day is it today,bash: day
do you know what day today,bash: day
can you tell me the day of the week,bash: day
do you know what day it is,bash: day
whats todays day,bash: day
give me the day,bash: day
could you check the day for me,bash: day
tell me the day of the week,bash: day
what day are we on,bash: day
can you remind me what day it is,bash: day
do you know todays day,bash: day
whats the day today,bash: day
trending news,bash: news
whats the latest news,bash: news
could you know what today news update,bash: news
would you check the news update,bash: news
can you tell me todays news update,bash: news
whats happening in the news today,bash: news
give me the news update,bash: news
news update,bash: news
whats going on in the world right now,bash: news
tell me the top stories today,bash: news
whats the news right now,bash: news
can you check the news for me,bash: news
whats the latest headline,bash: news
any breaking news today,bash: news
up the volume,bash: volume-up
up the sound,bash: volume-up
could you please increase the volume,bash: volume-up
raise the volume please,bash: volume-up
can you make the volume louder,bash: volume-up
turn the sound up,bash: volume-up
boost the volume up,bash: volume-up
increase the sound,bash: volume-up
increase up the sound,bash: volume-up
can you enhance the volume,bash: volume-up
make the volume louder,bash: volume-up
turn the audio up,bash: volume-up
please increase the volume higher,bash: volume-up
set maximum volume please,bash: volume-up
make the volume higher,bash: volume-up
down the volume,bash: volume-down
can you lower the volume,bash: volume-down
please turn down the sound,bash: volume-down
reduce the audio level please,bash: volume-down
make the volume quieter,bash: volume-down
turn the volume down,bash: volume-down
please decrease the sound,bash: volume-down
can you down the audio slightly,bash: volume-down
lower the sound level,bash: volume-down
please adjust the volume down,bash: volume-down
can you make it less loud,bash: volume-down
set full volume,bash: set-volume 100
max volume,bash: set-volume 100
maximize the sound,bash: set-volume 100
increase volume upto 45 %,bash: set-volume 45
can you increase the volume to 5 percentage,bash: set-volume 5
turn the volume up to 20%,bash: set-volume 20
please raise the volume to 25 %,bash: set-volume 25
increase the volume to 40 percent,bash: set-volume 40
turn the sound up to 55,bash: set-volume 55
can you boost the volume to 50 percentage,bash: set-volume 50
turn the audio level up to 65% ,bash: set-volume 65
can you put the volume to 70 %,bash: set-volume 70
raise the sound level to 95 percent,bash: set-volume 95 
please increase the sound to 100,bash: set-volume 100
reduce the volume by 10 percentage,bash: set-volume 10 
can you lower the volume by 15%,bash: set-volume 15
turn the volume down by 30 %,bash: set-volume 30
adjust the audio down by 25 percent,bash: set-volume 25 
please decrease the volume by 45 percentage,bash: set-volume 45
make the sound 60 quieter,bash: set-volume 60
lower the volume to 75% less,bash: set-volume 75
can you set the volume to 80 % lower,bash: set-volume 80
turn the sound down 85 percent,bash: set-volume 85
can you reduce the audio level by 90,bash: set-volume 90
set the volume to 0%,bash: set-volume 0
adjust volume to 32%,bash: set-volume 32
set sound level to 77%,bash: set-volume 77
change audio level to 83%,bash: set-volume 83
put the volume at 62%,bash: set-volume 62
make the volume 28%,bash: set-volume 28
set the audio to 19%,bash: set-volume 19
can you set volume at 91%,bash: set-volume 91
mute speaker,bash: volume-mute
mute the lap please,bash: volume-mute
minimize sound,bash: volume-mute
mute audio,bash: volume-mute
can you mute the audio,bash: volume-mute
please mute the sound,bash: volume-mute
turn off the sound,bash: volume-mute
mute the volume please,bash: volume-mute
silence the audio,bash: volume-mute
can you silence the sound,bash: volume-mute
please turn off the audio,bash: volume-mute
make it silent,bash: volume-mute
disable the sound,bash: volume-mute
i want to mute the please,bash: volume-mute
can you cut the audio,bash: volume-mute
unmute the sound,bash: volume-unmute
unmute the device,bash: volume-unmute
unmute the sound,bash: volume-unmute
turn the sound to full again,bash: volume-unmute
can you unmute the sound,bash: volume-unmute
please turn the audio back on,bash: volume-unmute
unmute the sound of laptop,bash: volume-unmute
make the audio audible again,bash: volume-unmute
can you bring the sound back,bash: volume-unmute
turn the volume back up,bash: volume-unmute
please unmute the speakers,bash: volume-unmute
can you enable the audio,bash: volume-unmute
bring back the sound please,bash: volume-unmute
make the sound active again,bash: volume-unmute
up brightness,bash: brightness-up
rise up the brightness,bash: brightness-up
increase brightness,bash: brightness-up
can you turn up the brightness,bash: brightness-up
please raise the brightness,bash: brightness-up
adjust the brightness higher,bash: brightness-up
make the screen brighter,bash: brightness-up
increase the screen brightness,bash: brightness-up
can you brighten the display,bash: brightness-up
please enhance the brightness,bash: brightness-up
set the brightness to a higher level,bash: brightness-up
boost the brightness please,bash: brightness-up
can you elevate the brightness,bash: brightness-up
down brightness,bash: brightness-down
can you dim the brightness,bash: brightness-down
lower the brightness please,bash: brightness-down
turn down the screen brightness,bash: brightness-down
make the display a bit darker,bash: brightness-down
reduce the brightness please,bash: brightness-down
can you make the screen less bright,bash: brightness-down
dim the screen please,bash: brightness-down
adjust the brightness down,bash: brightness-down
please darken the display,bash: brightness-down
