natural_command,bash_command
Look for any files that were modified 2-5 days ago,find -mtime +2 -mtime -5
Find all files with space in their names under current directory,find . -type f -name '* *'
find regular which case-insensitive name is foo in current directory,find . -iname foo -type f
Find all the files under /etc directory which are larger than 100k,find /etc -size +100k
Find all directories under current directory,find -type d
"search for the regular/normal file ""Dateiname"" in the entire file system","find / -type f -iname ""Dateiname"""
Change the group of all directories (except those with a '.') under current directory tree to a group with the same name as the directory name,"find . -type d | sed -e 's/\.\///g' | awk '{print $1, $1}' | xargs chgrp"
Remove all files whose names start with spam-,find . -name 'spam-*' | xargs rm
Find all *.p[lm] files under /users/tom directory that matches the regex '->get(\|#hyphenate' in their contents,find /users/tom -name '*.p[lm]' -exec grep -l -- '->get(\|#hyphenate' {} +
display all text files in current folder,"find . -name "".txt"""
"Create tar archive ""dirall.tar"" and copy all files from directory tree /tmp/a1 to it",find /tmp/a1 -print0 | tar --null -T- -cvf dirall.tar
Find all files in the /home/ directory tree that are owned by bob,find /home -user bob
"Find ""file.xml"" under the current directory and change directory to its parent",cd `find . -name file.xml -exec dirname {} \;`
"Run 'git pull' and, if successful, 'git status' in every git repository in the current directory","find . -type d -name .git -exec sh -c ""cd \""{}\""/../ && pwd && git pull && git status"" \;"
display all directories in current folder excluding those that are present in .git folder,find . -iregex '.*/.git/.*' -prune -o -type d -name 'CVS'
Find the first file/directory under current directory and quit,find . ... -print -quit
"Find all files with the name ""MyProgram.c"" in the current directory and its sub-directories while ignoring the case of the file name.","find -iname ""MyCProgram.c"""
Search /usr/local recursively for directories whose names end with a number 0-9,find /usr/local -type d -name '*[0-9]'
"Set permissions to ug=rwx,o= for directories inside the ./default/files tree","find ./default/files -type d -exec chmod ug=rwx,o= '{}' \;"
"Set permissions of all directories under ""/opt/lampp/htdocs"" to 711",find /opt/lampp/htdocs -type d -exec chmod 711 {} \;
display all the text files from the current folder and skip searching in skipdir1 and skipdir2 folders,"find . \( -name skipdir1 -prune , -name skipdir2 -prune -o -name ""*.txt"" \) -print"
Find all files/directories under current directory tree whose names start with 'test' followed by two digits and end with '.txt' extension,"find . -regextype sed -regex ""./test[0-9]\{2\}.txt"""
Find the password file between sub-directory level 2 and 4,find -mindepth 3 -maxdepth 5 -name passwd
"Search the current working directory tree for files whose names start with ""fileA_"" or ""fileB_""",find . -name 'fileA_*' -o -name 'fileB_*'
display all the html files in the current folder excluding search in the path ./foo,"find . -path ""./foo"" -prune -o -type f -name ""*.html"""
Get the number of regular files in the directory given as the bash script argument $1,find $1 -type f | wc -l
find the type & description of all the regular/normal files in the home folder,find /home -type f -print0 | xargs -0 file
display all directories in current folder,find . -type d -print0
"display a long listing of all the files in the current folder in sorted order, which are bigger than 10KB",find . -size +10k -exec ls -ls {} \+ | sort -nr
"Prints list of folders containing '.git', searching recursively from a current folder.",find . -name '.git' | xargs -n 1 dirname
find all the files ending with undo in the current folder and calculate the total size of these files,"find . -name ""*.undo"" -ls | awk '{total += $7} END {print total}'"
find the file with inode $inum under the current directory and delete it,find . -inum $inum -exec rm {} \;
Search for the wp-config.php file in /var/www and one level below,find /var/www/ -name wp-config.php -maxdepth 2
"find all the "".flac"" files in the current folder and convert them to mp3 with 128k bit rate","find -name ""*.flac"" -exec ffmpeg -i {} -acodec libmp3lame -ab 128k {}.mp3 \;"
Find all directories under ${1:-.} directory without descending into any sub-directories,find ${1:-.} -mindepth 1 -maxdepth 1 -type d
Find all the .mp3 files in the music folder recursively and pass them to the ls command,"find ./music -name ""*.mp3"" -print0 | xargs -0 ls"
Change the permissions of the current directory and all its subdirectories to 755.,find . -type d -exec chmod 755 {} \;
search the file myfile.txt in the current folder,find . -name myfile.txt -print
Search the current directory tree for executable regular files,find . -executable -type f
"Remove the ""^M"" characters from all *.ext files under /home directory","find /home -type f -name ""*.ext"" -exec sed -i -e ""s/\r$//g"" {} \;"
Print the file sizes along with their paths for all *.txt (case insensitive) files/directories under current directory tree,"find . -name ""*.txt"" -print0 |xargs -0 du -ch"
"Search the files residing in the current directory tree whose names contain ""bills"" for ""put""","find . -name '*bills*' -exec grep -H ""put"" {} \;"
find all the directories in the different folders excluding search in the sub directories and create these folders in the current directory,find /media/New\ Volume/bhajans -maxdepth 1 -type d | xargs -0 mkdir -p
Find the total size of *.jpg files within the current directory tree,find . -type f -iname '*.jpg' -print0 | du -c --files0-from=-
Find all files/directories under current directory with 'FooBar' in their paths and copy them to ~/foo/bar,"find .|grep ""FooBar""|yargs -l 203 cp --after ~/foo/bar"
Find all files/directories under '/usr' directory tree that have not been modified in the last 356 days counting days from today,find /usr -mtime +356 -daystart
Move all files from the `sourceDir' directory tree to the `destDir' directory,find sourceDir -mindepth 1 -print0 | xargs -0 mv --target-directory=destDir
List all .gif files in the current directory tree,find . -name *.gif -exec ls {} \;
display ten files in the tmp directory,find /tmp  | head
find all files without 777 permision,find / -type f ! perm 777
"Search the /root directory recursively for files named ""FindCommandExamples.txt""",find /root -name FindCommandExamples.txt
Print the first 10 files or directories found in the /tmp directory tree by `find',find /tmp  | head
Find files that were modified in less than 1 minute ago,find / -mmin -1
Search for all files owned by user www-data that are not larger than 100kb,find -user www-data -not -size +100k
Find all files/directories case insensitively containing 'xt' in their names under '/etc' directory tree,find /etc -iregex '.*xt.*'
Print the list of .txt files under and below the current directory,find . -name '*.txt' -print0|xargs -0 -n 1 echo
search the word NEEDLE and substitute it with REPLACEMENT in all the php files of the current folder,find ./ -type f -exec sed -i '' 's#NEEDLE#REPLACEMENT#' *.php {} \;
display a long listing of all the regular/normal files in the current folder,find . -type f -ls
Finds recursively all folders named 'a' within current folder and removes only ones without files and another folders within.,"find . -name ""a"" -type d | xargs rmdir"
List all files in the current directory tree that were last modified yesterday or later,find -newermt yesterday -ls
Remove all files on the system that have been changed within the last minute,find / -newerct '1 minute ago' -print | xargs rm
Search for regular files of the grooup 'users' in the file system,find /  -type f -group users
Delete all files with ' .o' extension in the entire filesystem,"find project / src / -name ""* .o"" -exec rm -f {} \;"
find all text files in user/directory/ which have been modified today and display the last line of these files,"find /user/directory/ -name ""*txt"" -mtime 0 -type f -printf '%p: ' -exec tail -1 {} \;"
find all the files in the current folder that have been accessed in today,find -atime 0
Find all files/directories under current directory with 'FooBar' in their paths and copy them to ~/foo/bar,"find . | grep ""FooBar"" | tr \\n \\0 | xargs -0 -I{} cp ""{}"" ~/foo/bar"
"Find all files/directories under current directory that match the case insensitive glob pattern {EA,FS}_*","find . -iname ""{EA,FS}_*"""
search for a word in all the files in the current directory (case insensitive search),find . -type f -exec grep 'needle' {} \;
Search /usr/bin for regular files that have been modified within the last 10 days,find /usr/bin -type f -mtime -10
Search the entire file hierarchy for files larger than 100 megabytes and delete them.,find / -size +100M -exec /bin/rm {} \;
"Remove all files with names like ""vmware-*.log"" from the current directory tree","find . -name ""vmware-*.log"" -exec rm '{}' \;"
Find all thumb.png files in the temps/ directory tree,"find temps/ -name ""thumb.png"""
List all regular files under current directory,find . -type f -print | xargs -n 1
"Search for files with ""sitesearch"" in their names and ""demo"" in their path names",find . -iname '*sitesearch*' | grep demo
Find all *.jpg files under current directory and print only unique names,find . -name \*.jpg -exec basename {} \; | uniq -u
"show all the files in the current folder which has the word ""ITM""",find . -name ‘*ITM*’
display the directory name along with the modified time for all the files /var,"find /var -maxdepth 2 -type d -exec stat  -c ""%n %y"" {} \;"
Find files in $DIR_TO_CLEAN that are older than $DAYS_TO_SAVE days and print them with null character appended to their paths,"find ""${DIR_TO_CLEAN?}"" -type f -mtime +${DAYS_TO_SAVE?} -print0"
"For each .def file under the current directory, create an empty .def.out file with current timestamp.",find . -name '*.def' | sed 's/\(.*\)/\1.out/' | xargs touch
Find all the regular files under current directory tree that have not been modified in the last 31 days and delete them,find . -type f -mtime +31 -print0 | xargs -0 -r rm -f
"find all the "".c"" files in the folder /home/david which have been modified in the last 48 hours",find /home/david -mtime -2 -name '*.c'
Look for files whose names begin with letters a-j,"find  / -name ""[a-j]*"" -print"
Find all files under /path/to/dir and change their permission to 644,find /path/to/dir -type f -exec chmod 644 {} +
List all files under and below the directory given as variable $ARCH1,find $ARCH1 -ls
Find all files in the current directory and its sub-directories that have not been assessed in more than 30 days.,find . -atime +30 -print
Find all files newer than httpd.conf under and below the current directory,find . -newer httpd.conf
Find user daniel's files of type jpeg without `autumn' in the name,find . -user daniel -type f -name *.jpg ! -name autumn*
"Print the names and sizes of regular files residing in the ""dir"" directory tree","find dir -type f -printf ""f %s %p\n"""
Search the /etc/apache-perl directory tree for files newer than /etc/apache-perl/httpd.conf,find /etc/apache-perl -newer /etc/apache-perl/httpd.conf
Look in /home/dm and below for files with 'uniform' in their names,"find /home/dm -name ""*uniform*"""
"Search the current directory tree for regular files whose names end in "".shtml"" or "".css""","find -type f -regex "".*/.*\.\(shtml\|css\)"""
"Print line, word and byte count for each file recursively and also show the total counts",wc `find`
find all the files that have been modified in the last 1 day ago,find -mtime -1
Find all *.m4a files under /home/family/Music directory and convert them to ogg,find /home/family/Music -name '*.m4a' -print0 | xargs -0 -i ffmpeg -i {} -acodec libvorbis -aq 6 -vn -ac 2 {}.ogg
