nl_cmd,bash_cmd
"show me the system information","uname -a"
"what is my operating system?","uname -a"
"give me details about my system","uname -a"
"display the system version","uname -a"
"what is the kernel version?","uname -a"
"tell me about my system setup","uname -a"
"get system info","uname -a"
"which operating system am i using?","uname -a"
"show me the kernel and system info","uname -a"
"what’s the system architecture?","uname -a"
"give me the current system details","uname -a"
"what’s my linux distribution version?","uname -a"
"show full system specifications","uname -a"
"tell me the kernel and os version","uname -a"
"what’s the version of the system i’m using?","uname -a"

nl_cmd,bash_cmd
"show me the cpu details","lscpu"
"what is my cpu model?","lscpu"
"tell me about the processor","lscpu"
"give me information about my cpu","lscpu"
"show the cpu architecture","lscpu"
"how many cores does my cpu have?","lscpu"
"what’s the cpu clock speed?","lscpu"
"get processor details","lscpu"
"tell me how many cores my cpu has","lscpu"
"what’s the model of my cpu?","lscpu"
"show me the cpu core count","lscpu"
"how fast is my processor?","lscpu"
"get cpu information","lscpu"
"what are the specifications of my cpu?","lscpu"
"give me the cpu architecture details","lscpu"

nl_cmd,bash_cmd
"show me the memory usage","free -h"
"what is the total memory available?","free -h"
"tell me about my system's memory","free -h"
"how much memory do I have?","free -h"
"give me the details on memory usage","free -h"
"show the available memory","free -h"
"how much RAM is used?","free -h"
"what’s my memory usage?","free -h"
"give me information about the system memory","free -h"
"how much free memory is there?","free -h"
"what is the swap space usage?","free -h"
"show me the memory statistics","free -h"
"how much swap space is available?","free -h"
"what is the total swap space?","free -h"
"give me details about my RAM","free -h"

nl_cmd,bash_cmd
"show me the disk space usage","df -h"
"what is the available disk space?","df -h"
"tell me about my disk storage","df -h"
"how much storage is left on my disk?","df -h"
"give me details on disk usage","df -h"
"show the available disk space","df -h"
"how much free space is there on my disk?","df -h"
"what is the total disk space?","df -h"
"give me information about my disk partitions","df -h"
"how much space is used on the disk?","df -h"
"what’s the usage of disk partitions?","df -h"
"show me the storage statistics","df -h"
"how much disk space do I have?","df -h"
"what’s the storage usage on my system?","df -h"
"give me the disk space details","df -h"

nl_cmd,bash_cmd
"how long has my system been running?","uptime"
"what is the system uptime?","uptime"
"tell me how long the system has been up","uptime"
"how long has the system been active?","uptime"
"show me the system uptime","uptime"
"what’s the current system uptime?","uptime"
"give me the uptime details","uptime"
"how much time has passed since the system booted?","uptime"
"tell me about the system’s running time","uptime"
"how long has the system been online?","uptime"
"what’s the system's run time?","uptime"
"give me the system’s up-time","uptime"
"how long has the machine been on?","uptime"
"show the uptime for my system","uptime"
"tell me the duration my system has been running","uptime"


nl_cmd,bash_cmd
"what is my system's hostname?","hostname"
"tell me the hostname of my machine","hostname"
"give me the current hostname","hostname"
"show me my system's hostname","hostname"
"what's the name of my system?","hostname"
"how is my machine identified?","hostname"
"what is my computer's hostname?","hostname"
"what’s the hostname of this system?","hostname"
"get the hostname of my system","hostname"
"show the current hostname of the system","hostname"
"give me my system's name","hostname"
"how do I identify this system?","hostname"
"what’s the system's name?","hostname"
"tell me my computer's name","hostname"
"what's the name assigned to my machine?","hostname"

nl_cmd,bash_cmd
"show me the network interfaces","ifconfig"
"what are the network interfaces on my system?","ifconfig"
"give me the details of network interfaces","ifconfig"
"what’s the configuration of my network interfaces?","ifconfig"
"show the network configuration","ifconfig"
"tell me about the network interfaces","ifconfig"
"how are my network interfaces set up?","ifconfig"
"what is the status of my network interfaces?","ifconfig"
"give me the ip address information","ifconfig"
"what network interfaces are available?","ifconfig"
"show me all the network interfaces","ifconfig"
"tell me the details of network settings","ifconfig"
"how do my network interfaces look?","ifconfig"
"get the network information","ifconfig"
"what’s the status of network devices?","ifconfig"


nl_cmd,bash_cmd
"connect to a wifi network","nmcli device wifi connect"
"how do I connect to a network?","nmcli device wifi connect"
"connect to my wifi","nmcli device wifi connect"
"connect to a wireless network","nmcli device wifi connect"
"how can I connect to a wifi network?","nmcli device wifi connect"
"join a network using nmcli","nmcli device wifi connect"
"connect to a wifi using nmcli","nmcli device wifi connect"
"how do I join a wifi network?","nmcli device wifi connect"
"connect my system to a wifi network","nmcli device wifi connect"
"how do I get connected to a wifi network?","nmcli device wifi connect"
"connect to a specific network using nmcli","nmcli device wifi connect"
"join a wireless network using nmcli","nmcli device wifi connect"
"how to establish a wifi connection using nmcli?","nmcli device wifi connect"
"connect to wifi from the command line","nmcli device wifi connect"
"how do I use nmcli to connect to a wifi?","nmcli device wifi connect"


nl_cmd,bash_cmd
"show me the battery status","upower -i /org/freedesktop/UPower/devices/battery_BAT0"
"what’s the battery level?","upower -i /org/freedesktop/UPower/devices/battery_BAT0"
"tell me how much battery is remaining","upower -i /org/freedesktop/UPower/devices/battery_BAT0"
"how much charge is left on my battery?","upower -i /org/freedesktop/UPower/devices/battery_BAT0"
"show me the battery charge","upower -i /org/freedesktop/UPower/devices/battery_BAT0"
