,weather
,time
,time in <specific-location>
,date
,news
,volume up
,volume down
,volume up <volume-percentage>
,volume down <volume-percentage>
,volume mute
,volume unmute
,brightness up
,brightness down
,brightness up <brightness-up-percentage>
,brightness down <brightness-down-percentage>
,battery
,screenshot
,ip address
,cpu usage
,storage free
,lock screen
,brightness maximum
,minimize all window
,alarm <time>
,alarm <time> am
,alarm <time> pm
,close window
,restart
,shutdown
,hibernate
,logout
,day
,spotify <song-name>


to open apps
,firefox
,chromium-browser
,google-chrome
,brave-browser
,opera
,vivaldi
,epiphany
,falkon
,torbrowser-launcher
,LibreOffice
,onlyoffice-desktopeditors
,evince
,okular
,tusk
,Joplin
,simplenote
,thunderbird
,evolution
,korganizer
,subl
,pycharm-community
,code
,notepad-plus-plus
,studio
,anydesk
,phpstorm
,eclipse
,pycharm-professional
,idea
,postman
,idea
,webstorm
,rubymine
,netbeans
,goland
,slack
,telegram-desktop
,skype
,zulip
,discord
,signal-desktop
,zenchat
,zoom
,whatsapp-desktop
,scrcpy
,spotify
,gitkraken
,teams
,gimps
,obs
,kdenlive
,virtualbox

