bash_code,nl_command,srno
find -mtime +2 -mtime -5,Look for any files that were modified 2-5 days ago,3194
"tempFile=""$(mktemp ""${TMPDIR:-/tmp/}$(basename ""$0"")-XXXXX"")""","Creates temporary file in a TMPDIR folder or /tmp folder if TMPDIR doesn`t defined, with file name like current shell name and '-XXXXX'-formatted suffix, and saves created path to the 'tempFile' variable.",8529
find . -type f -name '* *',Find all files with space in their names under current directory,240
"#!/bin/bash

dir=""/path/to/directory""
file=""filename.txt""
if [ -e ""$dir/$file"" ]; then
    echo ""$file exists in $dir""
else
    echo ""$file does not exist in $dir""
fi",Create a script to check if a file exists in a given directory.,1433
find . -iname foo -type f,find regular which case-insensitive name is foo in current directory,2029
find /etc -size +100k,Find all the files under /etc directory which are larger than 100k,13526
"#!/bin/bash

while true; do
    dmesg | grep -i 'panic'
    sleep 600

done",Create a script that monitors system kernel panic messages and alerts if any are found.,5513
find -type d,Find all directories under current directory,6088
"find / -type f -iname ""Dateiname""","search for the regular/normal file ""Dateiname"" in the entire file system",5720
seq 10000 | parallel -j100 wget https://www.example.com/page{}.html,"Download 10000 web pages ""https://www.example.com/page{}.html"" 100 at a time where ""{}"" ranges from 1 to 10000",23557
cd -,Go to previous working directory.,9995
"find . -type d | sed -e 's/\.\///g' | awk '{print $1, $1}' | xargs chgrp",Change the group of all directories (except those with a '.') under current directory tree to a group with the same name as the directory name,19772
find . -name 'spam-*' | xargs rm,Remove all files whose names start with spam-,17202
find /users/tom -name '*.p[lm]' -exec grep -l -- '->get(\|#hyphenate' {} +,Find all *.p[lm] files under /users/tom directory that matches the regex '->get(\|#hyphenate' in their contents,716
"#!/bin/bash

while true; do
    smartctl --health /dev/sda | grep -i 'SMART overall-health self-assessment test result' | grep -i 'fail' && echo ""Hard drive health check failed""
    sleep 300

done",Create a script that monitors system hardware component health using SMART data and alerts if any components are failing.,4573
echo `date` `hostname`,Print the date followed by the host name,6815
"find . -name "".txt""",display all text files in current folder,10499
find /tmp/a1 -print0 | tar --null -T- -cvf dirall.tar,"Create tar archive ""dirall.tar"" and copy all files from directory tree /tmp/a1 to it",20164
comm abc def,"Compare files 'file1' and 'file2' and print in three columns strings unique for first file, second file, and common ones",9040
find /home -user bob,Find all files in the /home/ directory tree that are owned by bob,8655
cd `find . -name file.xml -exec dirname {} \;`,"Find ""file.xml"" under the current directory and change directory to its parent",4377
"find . -type d -name .git -exec sh -c ""cd \""{}\""/../ && pwd && git pull && git status"" \;","Run 'git pull' and, if successful, 'git status' in every git repository in the current directory",1930
find . -iregex '.*/.git/.*' -prune -o -type d -name 'CVS',display all directories in current folder excluding those that are present in .git folder,13787
find . ... -print -quit,Find the first file/directory under current directory and quit,21259
"find -iname ""MyCProgram.c""","Find all files with the name ""MyProgram.c"" in the current directory and its sub-directories while ignoring the case of the file name.",8674
"tar tzvf archive.tar.gz | sed 's/ \+/ /g' | cut -f3 -d' ' | sed '2,$s/^/+ /' | paste -sd' ' | bc","Sum the total content size of the extracted files in ""archive.tar.gz""",23813
cat /dev/urandom | tr -dC '[:graph:]',"Print only printable characters from ""/dev/urandom""",11584
find /usr/local -type d -name '*[0-9]',Search /usr/local recursively for directories whose names end with a number 0-9,23177
sed --in-place '/some string here/d' yourfile,"Delete all lines matching ""some string here"" in ""yourfile""",4272
"find ./default/files -type d -exec chmod ug=rwx,o= '{}' \;","Set permissions to ug=rwx,o= for directories inside the ./default/files tree",17871
"read -e -p ""Enter the path to the file: "" -i ""/usr/local/etc/"" FILEPATH","Read a line of standard input with prompt ""Enter the path to the file: "" and suggestion ""/usr/local/etc/"" and save the response to variable ""FILEPATH""",11107
echo 127.0.0.1 ad.doubleclick.net | sudo tee -a /etc/hosts,"Write ""127.0.0.1 ad.doubleclick.net"" to the console and append to ""/etc/hosts"" as root",16008
find /opt/lampp/htdocs -type d -exec chmod 711 {} \;,"Set permissions of all directories under ""/opt/lampp/htdocs"" to 711",15449
