nl_cmd
"allow read for user, read for group, and read for others on file <file-name>"," chmod 444 <file-name>"
"assign read permission to user, read permission to group, and read permission to others for <directory-name>","chmod 444 <directory-name>"
"allow read for user, read for group, and read for others on directory/folder and its sub-contents <directory-name>","chmod 444 <directory-name>"
"grant read access for user, read for group, and write to others for <file-name>"," chmod 442 <file-name>"
"provide read for user, read to group, and write to others for <directory-name>","chmod 442 <directory-name>"
"set permissions to read for owner, read for group members, and write for others on <directory-name>","chmod 442 <directory-name>"
"grant read access for user, read for group, and execute to others for <file-name>"," chmod 441 <file-name>"
"provide read for user, read to group, and execute to others for <directory-name>","chmod 441 <directory-name>"
"grant read access for user, read for group, and execute to others for <directory-name>","chmod 441 <directory-name>"
"set permissions to read for owner, read for group members, and read and write for others on <file-name>"," chmod 446 <file-name>"
"grant read access for user, read for group, and read and write to others for <directory-name>","chmod 446 <directory-name>"
"assign read permission to user, read permission to group, and read and write permission to others for <directory-name>","chmod 446 <directory-name>"
"allow read for user, read for group, and read and execute for others on file <file-name>"," chmod 445 <file-name>"
"set permissions to read for owner, read for group members, and read and execute for others on <directory-name>","chmod 445 <directory-name>"
"assign read permission to user, read permission to group, and read and execute permission to others for <directory-name>","chmod 445 <directory-name>"
"allow read for user, read for group, and write and execute for others on file <file-name>"," chmod 443 <file-name>"
"provide read for user, read to group, and write and execute to others for <directory-name>","chmod 443 <directory-name>"
"assign read permission to user, read permission to group, and write and execute permission to others for <directory-name>","chmod 443 <directory-name>"
"provide read for user, read to group, and all to others for <file-name>"," chmod 447 <file-name>"
"grant read access for user, read for group, and all to others for <directory-name>","chmod 447 <directory-name>"
"set permissions to read for owner, read for group members, and all for others on <directory-name>","chmod 447 <directory-name>"
"provide read for user, read to group, and none to others for <file-name>"," chmod 440 <file-name>"
"allow read for user, read for group, and none for others on directory/folder <directory-name>","chmod 440 <directory-name>"
"set permissions to read for owner, read for group members, and none for others on <directory-name>","chmod 440 <directory-name>"
"grant read access for user, write for group, and read to others for <file-name>"," chmod 424 <file-name>"
"assign read permission to user, write permission to group, and read permission to others for <directory-name>","chmod 424 <directory-name>"
"provide read for user, write to group, and read to others for <directory-name>","chmod 424 <directory-name>"
"assign read permission to user, write permission to group, and write permission to others for <file-name>"," chmod 422 <file-name>"
"set permissions to read for owner, write for group members, and write for others on <directory-name>","chmod 422 <directory-name>"
"assign read permission to user, write permission to group, and write permission to others for <directory-name>","chmod 422 <directory-name>"
"assign read permission to user, write permission to group, and execute permission to others for <file-name>"," chmod 421 <file-name>"
"set permissions to read for owner, write for group members, and execute for others on <directory-name>","chmod 421 <directory-name>"
