nl_cmd,bash_cmd

create user <username> and add to group <group-name>,sudo useradd -G <group-name> <username>
add user <username> to group <group-name> upon creation,sudo useradd -G <group-name> <username>
register user <username> under the group <group-name>,sudo useradd -G <group-name> <username>
i want to create a new user <username> with group <group-name>,sudo useradd -G <group-name> <username>
add a new account <username> to group <group-name>,sudo useradd -G <group-name> <username>
could you please set up user <username> in the group <group-name>,sudo useradd -G <group-name> <username>
can you create user <username> in group <group-name> during creation,sudo useradd -G <group-name> <username>
create a new user profile <username> within <group-name>,sudo useradd -G <group-name> <username>
add <username> to <group-name> group while creating,sudo useradd -G <group-name> <username>
make <username> part of the <group-name> group,sudo useradd -G <group-name> <username>
add <username> as a member of <group-name> when setting up,sudo useradd -G <group-name> <username>
initiate <username> in the group <group-name>,sudo useradd -G <group-name> <username>
new user <username> to join group <group-name>,sudo useradd -G <group-name> <username>
register the new user <username> under <group-name> group,sudo useradd -G <group-name> <username>
set <username> to be a part of <group-name> on creation,sudo useradd -G <group-name> <username>
add <username> as part of <group-name> right from setup,sudo useradd -G <group-name> <username>

add user named <username> to group <group-name>, sudo usermod -aG <group-name> <username>
i want include user <username> in group <group-name> as secondary group, sudo usermod -aG <group-name> <username>
please assign user <username> to group <group-name>, sudo usermod -aG <group-name> <username>
coule you please add <username> into group <group-name> as secondary group, sudo usermod -aG <group-name> <username>
make user <username> a member of group <group-name>, sudo usermod -aG <group-name> <username>
join user <username> to group <group-name> as secondary group, sudo usermod -aG <group-name> <username>
place <username> in group <group-name>, sudo usermod -aG <group-name> <username>
can you add <username> as a member of <group-name>, sudo usermod -aG <group-name> <username>
assign group <group-name> to user <username>, sudo usermod -aG <group-name> <username>
include <username> in <group-name> group as secondary group, sudo usermod -aG <group-name> <username>
add me to group <group-name>, sudo usermod -aG <group-name> $USER
i want include myself in group <group-name> as secondary group, sudo usermod -aG <group-name> $USER
please assign me to new group <group-name>, sudo usermod -aG <group-name> $USER
coule you please add me into group <group-name> as secondary group, sudo usermod -aG <group-name> $USER
make me a member of group <group-name>, sudo usermod -aG <group-name> $USER
join myself to group <group-name> as secondary group, sudo usermod -aG <group-name> $USER
place me in group <group-name>, sudo usermod -aG <group-name> $USER
can you add me as a member of <group-name>, sudo usermod -aG <group-name> $USER
assign group <group-name> to me, sudo usermod -aG <group-name> $USER
include me in <group-name> group as secondary group, sudo usermod -aG <group-name> $USER
add user <username> to two groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> <username>
include <username> in multiple groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> <username>
can you add <username> to several groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> <username>
assign <username> to multiple groups <group-name-1> and <group-name-2>, usermod -aG <group-name-1> <group-name-2> <username>
add <username> as a member of 2 groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> <username>
include <username> in the groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> <username>
make <username> part of teo groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> <username>
add <username> into both <group-name-1> and <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> <username>
add me to two groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> $USER
include myself in multiple groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> $USER
can you add me to several groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> $USER
assign me to multiple groups <group-name-1> and <group-name-2>, usermod -aG <group-name-1> <group-name-2> $USER
add me as a member of <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> $USER
i want to be included in the 2 groups <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> $USER
make me part of <group-name-1> <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> $USER
add myself into both <group-name-1> and <group-name-2>,sudo usermod -aG <group-name-1> <group-name-2> $USER
i want to change the primary group of <username> to <group-name>,sudo usermod -g <group-name> <username>
set <group-name> as primary group for <username>,sudo usermod -g <group-name> <username>
make <group-name> the main group for <username>,sudo usermod -g <group-name> <username>
can you assign <username> to primary group <group-name>,sudo usermod -g <group-name> <username>
update primary group for <username> to <group-name>,sudo usermod -g <group-name> <username>
switch <username> primary group to <group-name>,sudo usermod -g <group-name> <username>
please set main group of <username> as <group-name>,sudo usermod -g <group-name> <username>
change <username> primary group to <group-name>,sudo usermod -g <group-name> <username>
could you make <group-name> the primary for <username>,sudo usermod -g <group-name> <username>
set <group-name> as the primary group for user <username>,sudo usermod -g <group-name> <username>
i want to change my primary group to <group-name>,sudo usermod -g <group-name> $USER
set <group-name> as primary group for me,sudo usermod -g <group-name> $USER
make <group-name> the main group for myself,sudo usermod -g <group-name> $USER
can you assign me to primary group <group-name>,sudo usermod -g <group-name> $USER
update primary group for me to <group-name>,sudo usermod -g <group-name> $USER
switch my primary group to <group-name>,sudo usermod -g <group-name> $USER
please set main group of me as <group-name>,sudo usermod -g <group-name> $USER
change my primary group to <group-name>,sudo usermod -g <group-name> $USER
could you make <group-name> the primary for me,sudo usermod -g <group-name> $USER
set <group-name> as the primary group for me,sudo usermod -g <group-name> $USER

i want to remove user <username> from group <group-name>,sudo gpasswd -d <username> <group-name>
take <username> out of group <group-name>,sudo gpasswd -d <username> <group-name>
can you delete <username> from the group <group-name>,sudo gpasswd -d <username> <group-name>
exclude <username> from group <group-name>,sudo gpasswd -d <username> <group-name>
please remove <username> as a member of <group-name>,sudo gpasswd -d <username> <group-name>
unassign <username> from group <group-name>,sudo gpasswd -d <username> <group-name>
remove <username> from the following group <group-name>,sudo gpasswd -d <username> <group-name>
could you please take <username> out from the group <group-name>,sudo gpasswd -d <username> <group-name>
exclude <username> from the specified group <group-name>,sudo gpasswd -d <username> <group-name>
delete <username> membership from <group-name>,sudo gpasswd -d <username> <group-name>
i want to be removed from group <group-name>,sudo gpasswd -d $USER <group-name>
take me out of group <group-name>,sudo gpasswd -d $USER <group-name>
can you delete me from the group <group-name>,sudo gpasswd -d $USER <group-name>
exclude myself from group <group-name>,sudo gpasswd -d $USER <group-name>
please remove me as a member of <group-name>,sudo gpasswd -d $USER <group-name>
remove myself from group <group-name>,sudo gpasswd -d $USER <group-name>
remove me from the following group <group-name>,sudo gpasswd -d $USER <group-name>
could you please take away me from the group <group-name>,sudo gpasswd -d $USER <group-name>
exclude me from the specified group <group-name>,sudo gpasswd -d $USER <group-name>
delete the membership of me from <group-name>,sudo gpasswd -d $USER <group-name>
