nl_cmd,bash_cmd
create a new user named <username>,sudo useradd <username>
make a new user account for <username>,sudo useradd <username>
please add an user with the name <username>,sudo useradd <username>
i want to create an account for user <username>,sudo useradd <username>
can you create an user with the name of <username>,sudo useradd <username>
set up a new user named <username>,sudo useradd <username>
register <username> as a user,sudo useradd <username>
add <username> as a new system user,sudo useradd <username>
create user <username> in the system,sudo useradd <username>
add user with name <username> into my ubuntu system,sudo useradd <username>
create a user with home directory <username>,sudo useradd -m <username>
make a new user <username> with home directory,sudo useradd -m <username>
can you create a user named <username> with the home directory,sudo useradd -m <username>
please add a new user account with the home directory called <username>,sudo useradd -m <username>
can you create a user named <username> with user id <uid>,sudo useradd -u <uid> <username>
please create a user account named <username> and set the user id as <uid> ,sudo useradd -u <uid> <username>
create a user with uid as <uid> for <username>,sudo useradd -u <uid> <username>
add the new user with the uid <uid> into my system called <username>,sudo useradd -u <uid> <username>
create a user with the custom home directory as <directory-name> for <username>,sudo useradd -d <directory-name> <username>
add the new user with the home directory as <directory-name> into my system called <username>,sudo useradd -d <directory-name> <username>
can you create a user named <username> with home directory as <directory-name>,sudo useradd -d <directory-name> <username>
please create a user account named <username> and set the home directory <directory-name> ,sudo useradd -d <directory-name> <username>
delete the user named <username> from my system,sudo userdel <username>
remove the user account <username>,sudo userdel <username>
please delete the user with the name <username>,sudo userdel <username>
delete the profile of <username>,sudo userdel <username>
can you remove the user named <username>,sudo userdel <username>
will the erase user with the name <username>,sudo userdel <username>
erase the user account <username>,sudo userdel <username>
remove <username> entirely,sudo userdel <username>
i want to delete the user named <username>,sudo userdel <username> 
could you please delete the user <username> from my laptop,sudo userdel <username>
delete the user <username> with the user id,sudo userdel -r <username>
please remove the user of <username> also the user id,sudo userdel -r <username>
erase the user named <username> from the system and also the uid,sudo userdel -r <username>
i want to delete the user with the uid named <username>, sudo userdel -r <username>
delte the user named <username> with the home directory,sudo userdel -r <username>
remove the user out of my system named username and also remove home directory, sudo userdel -r <username>
update the password for the user named <username>,sudo passwd <username>
i want to assign a new passowrd for the user named <username>,sudo passwd <username>
set a new password to user <username>,sudo passwd <username>
i want to change the old password for user <username>,sudo passwd <username>
can you reassign a new password to the user named <username>,sudo passwd <username>
modify the password for <username>,sudo passwd <username>
i want to update the existing password for user <usename>,sudo passwd <username>
please reset the password for user named <username>,sudo passwd <username>
set a fresh password for <username>,sudo passwd <username>
could you please assign a new password for <username>, sudo passwd <username>
i want to assign a new passowrd to me,sudo passwd $USER
set a new password to myself,sudo passwd $USER
i want to change the old password for me,sudo passwd $USER
can you reassign a new password to the current user,sudo passwd $USER
modify the password for me,sudo passwd $USER
i want to update the existing password for the current logged in user,sudo passwd $USER
please reset the password for me,sudo passwd $USER
set a fresh password to me,sudo passwd $USER
could you please assign a new password for me, sudo passwd $USER
i want to lock the user named <username>, sudo usermod -L <username>
disable the access of user named <username>,sudo usermod -L <username>
block access to <username>,sudo usermod -L <username>
could you please lock the user account <username>,sudo usermod -L <username>
please temporarily lock the user account named <username>,sudo usermod -L <username>
deactivate the user from using the system <username>,sudo usermod -L <username>
Lock the user <username> from accessing the system,sudo usermod -L <username>
stop the user named <username> from accessing the laptop,sudo usermod -L <username>
set the user profile <username> to be locked,sudo usermod -L <username>
can you lock user <username> for me,sudo usermod -L <username> 
i want to unlock the user named <username>,sudo usermod -U <username>
enable the access to the user profile named <username>,sudo usermod -U <username>
could you please unlock the user account <username>,sudo usermod -U <username>
activate the user account <username> to access the system,sudo usermod -U <username>
unlock the user account <username>allow to access the system,sudo usermod -U <username>
permit user <username> to access the system,sudo usermod -U <username>
please reactivate the user account <username>,sudo usermod -U <username>
unblock access for user named <username>,sudo usermod -U <username>
set <username> account to unlocked,sudo usermod -U <username>
can you unlock the user profile for me,sudo usermod -U <username>
rename the user name of <old-user-name> to <new-user-name>,sudo usermod -l <new-user-name> <old-user-name>
i want to rename the old user name of <old-user-name> to <new-user-name>,sudo usermod -l <new-user-name> <old-user-name>
change the user name from <old-user-name> to <new-user-name>,sudo usermod -l <new-user-name> <old-user-name>
i want to assign a new user name <new-user-name> to <old-user-name>,sudo usermod -l <new-user-name> <old-user-name>
change the existing user name from <old-user-name> to <new-user-name>,sudo usermod -l <new-user-name> <old-user-name>
update the old user name from <old-user-name> to <new-user-name>,sudo usermod -l <new-user-name> <old-user-name>
can you please reassign a new user name from <old-user-name> to <new-user-name>,sudo usermod -l <new-user-name> <old-user-name>
please modify the user name from <old-user-name> to <new-user-name>,sudo usermod -l <new-user-name> <old-user-name>
set a new user name <new-user-name> to <old-user-name>,sudo usermod -l <new-user-name> <old-user-name>
could you please the rename the user name of <old-user-name> to <new-user-name>,sudo usermod -l <new-user-name> <old-user-name>
set <new-user-name> as the new username for <old-user-name>,sudo usermod -l <new-user-name> <old-user-name>
rename the user name of me to <new-user-name>,sudo usermod -l <new-user-name> $USER
i want to rename my user name to <new-user-name>,sudo usermod -l <new-user-name> $USER
change my name to <new-user-name>,sudo usermod -l <new-user-name> $USER
i want to assign a new name <new-user-name> to me,sudo usermod -l <new-user-name> $USER
change the existing user name of me to <new-user-name>,sudo usermod -l <new-user-name> $USER
update my old user name to <new-user-name>,sudo usermod -l <new-user-name> $USER
can you please reassign a new user name <new-user-name> to me,sudo usermod -l <new-user-name> $USER
please modify the user name of myself to <new-user-name>,sudo usermod -l <new-user-name> $USER
set a new user name <new-user-name> to me,sudo usermod -l <new-user-name> $USER
could you please the rename me to <new-user-name>,sudo usermod -l <new-user-name> $USER
set <new-user-name> as the new username for me,sudo usermod -l <new-user-name> $USER
change the user id of <username> to <user-id>,sudo usermod -u <user-id> <username>
i want to modify the old user id of <username> to <user-id>,sudo usermod -u <user-id> <username>
change the uid <user-id> to <username>,sudo usermod -u <user-id> <username>
i want to assign a new user id <user-id> to <username>,sudo usermod -u <user-id> <username>
change the existing user id of <username> to <user-id>,sudo usermod -u <user-id> <username>
update a new user id <user-id> to <username>,sudo usermod -u <user-id> <username>
can you please reassign a new user id <user-id> to <username>,sudo usermod -u <user-id> <username>
